source_term,matched_rxcuis,status,error
penicillamine,7975,ok,
acebrophylline acetylcysteine,,not_found,
acebrophylline ml,,not_found,
l methyl folate,1592257,ok,
diphtheria toxoid 25lf tetanus toxoid 5lf pertussis toxoid,,not_found,
"rabies vaccine, human",,not_found,
equine rabies immunoglobulin,,not_found,
albumin 20% w v,,not_found,
abiraterone acetate,1100071,ok,
acebrophylline montelukast,,not_found,
mifepristone,6964,ok,
paclitaxel,56946,ok,
acamprosate,82819,ok,
beclometasone 0.025% w w clotrimazole 1% w w gentamicin 0.1% w w,,not_found,
benzocaine 2.7% w v chlorbutol 5% w v paradichlorobenzene 2% w v turpentine oil 15% w v,,not_found,
drotaverine aceclofenac,,not_found,
diethylcarbamazine cetirizine,,not_found,
codeine,2670,ok,
dicyclomine ranitidine,,not_found,
domperidone omeprazole,,not_found,
aluminium hydroxide 1.57gm milk of magnesia 1.27gm simethicone oxetacaine,,not_found,
acyclovir,281,ok,
acyclovir 5% w w,,not_found,
zoledronic acid,77655,ok,
benzoyl peroxide 2.5% w w clindamycin 1% w w,,not_found,
dapsone 5% w w,,not_found,
dapsone 5% w w adapalene 0.1% w w,,not_found,
adapalene 0.1% w w clindamycin 1% w w,,not_found,
clindamycin 1% w w,,not_found,
xylometazoline 0.05% w v,,not_found,
atracurium ml,,not_found,
ursodeoxycholic acid,11065,ok,
octreotide acetate,221130,ok,
silymarin ursodeoxycholic acid,,not_found,
dactinomycin,3100,ok,
corticotropin,376,ok,
ketorolac 0.4% w v,,not_found,
dextrose 25% w v,,not_found,
amitriptyline chlordiazepoxide,974990,ok,
ketorolac 0.4% w v olopatadine 0.1% w v,,not_found,
sevelamer,214824,ok,
prochlorperazine,8704,ok,
paracetamol acetaminophen tramadol,,not_found,
racecadotril,16738,ok,
adapalene 0.1% w w,,not_found,
adalimumab,327361,ok,
carboxymethylcellulose 0.5% w v,,not_found,
potassium chloride,8591,ok,
buprenorphine,1819,ok,
sodium acid phosphate 1.936gm,,not_found,
naltrexone,7243,ok,
methylphenidate,6901,ok,
pegfilgrastim,338036,ok,
isoxsuprine,6066,ok,
pralidoxime ml,,not_found,
memantine,6719,ok,
perindopril erbumine losartan,,not_found,
doxorubicin plain,,not_found,
zinc gluconate,58300,ok,
levosalbutamol beclometasone,,not_found,
fluconazole,4450,ok,
azithromycin ornidazole fluconazole,,not_found,
benfotiamine levo carnitine resveratrol vitamin b6 pyridoxine,,not_found,
pancreatin,7880,ok,
montelukast levocetirizine acebrophylline,,not_found,
glycopyrrolate,4955,ok,
rifampicin isoniazid,,not_found,
isoniazid rifampicin ethambutol pyrazinamide,,not_found,
lactobacillus 120million spores,,not_found,
methylcobalamin na,,not_found,
seratrodast,,not_found,
albendazole,430,ok,
albumin 20%,,not_found,
albumin 5%,,not_found,
sulphacetamide 30% w v,,not_found,
amino acids 5% w v,,not_found,
disulfiram,3554,ok,
metadoxine,,not_found,
epalrestat methylcobalamin,,not_found,
epalrestat,,not_found,
pralidoxime,34345,ok,
citric acid na diphenhydramine na,,not_found,
sulphacetamide 20% w v,,not_found,
alendronic acid vitamin d3,,not_found,
dextromethorphan hydrobromide,102490,ok,
phenylephrine chlorpheniramine maleate dextromethorphan hydrobromide,,not_found,
alpha glycerylphosphorylcholine,,not_found,
interferon alpha 2a 3million iu,,not_found,
folic acid,4511,ok,
alfuzosin,17300,ok,
progesterone,8727,ok,
sulphacetamide na,,not_found,
estradiol sildenafil,,not_found,
sildenafil,136411,ok,
apremilast,1492727,ok,
disodium hydrogen citrate 1.53gm,,not_found,
disodium hydrogen citrate na,,not_found,
disodium hydrogen citrate 1.4gm,,not_found,
nandrolone decanoate,31494,ok,
melphalan,6718,ok,
guaifenesin na bromhexine na chlorpheniramine maleate na dextromethorphan hydrobromide na,,not_found,
magnesium citrate potassium citrate,1009052,ok,
policosanol,69440,ok,
montelukast fexofenadine,,not_found,
fluticasone furoate,705022,ok,
olopatadine,135391,ok,
camphor 0.01% w v menthol 0.005% w v naphazoline 0.05% w v phenylephrine 0.12% w v,,not_found,
almotriptan,279645,ok,
amoxycillin,723,ok,
amoxycillin clavulanic acid,,not_found,
nitazoxanide ofloxacin,,not_found,
palonosetron,70561,ok,
brimonidine 0.1% w v stabilized oxychloro 0.005% w v,,not_found,
alprostadil,598,ok,
alprazolam sertraline,,not_found,
epalrestat methylcobalamin pregabalin,,not_found,
epirubicin,3995,ok,
choline salicylate 8.7% w w lidocaine 2% w w,,not_found,
erythromycin,4053,ok,
melatonin,6711,ok,
aceclofenac rabeprazole,,not_found,
donepezil,135447,ok,
donepezil memantine,1430990,ok,
itolizumab,,not_found,
amantadine,620,ok,
glimepiride metformin,,not_found,
secnidazole,36314,ok,
streptomycin 0.75gm,,not_found,
streptomycin 1gm,,not_found,
hydroxyquinolines,110|42836,ok,
ambroxol salbutamol,,not_found,
ambroxol,625,ok,
ambroxol etofylline terbutaline,,not_found,
etizolam propranolol,,not_found,
flupenthixol melitracen,,not_found,
